n#010711,n02065599
n#058227,n10728624
a#002283,a00402419
n#004741,n00927845
n#070310,n13165409
n#034428,n06373991
v#011572,v02322924
a#008980,a01640618
n#002615,n00529511
n#017878,n03288225
n#042195,n07743902
n#025837,n04625515
a#007778,a01424706
a#001135,a00209390
v#011425,v02294436
a#001526,a00272950
n#009342,n01820052
n#001414,n00296585
n#005657,n01107359
n#003312,n00652803
v#005545,v01141938
v#007624,v01534147
n#010208,n01979738
v#007470,v01504480
a#002279,a00401922
a#002504,a00445308
n#008426,n01646902
n#011044,n02120505
n#040566,n07491708
n#014153,n02656550
n#074371,n13887211
n#046468,n08568978
a#006693,a01222253
n#069246,n12946432
r#000825,r00129532
v#012913,v02600255
n#026804,n04824819
n#028892,n05229805
n#070199,n13148384
n#020872,n03794540
n#057031,n10530150
n#074596,n13929037
n#060434,n11133938
n#018701,n03428805
n#019608,n03579982
n#005108,n01002872
n#078299,n14616939
a#005271,a00962025
n#031610,n05757423
n#010153,n01969103
n#072958,n13660868
n#075535,n14108938
n#031484,n05732273
n#058091,n10709256
n#007384,n01451863
n#075597,n14121804
n#008152,n01597737
n#001663,n00342028
n#030586,n05559122
n#048701,n09062961
n#008043,n01579868
n#058469,n10765189
n#015802,n02933990
n#021396,n03881534
n#055572,n10277231
n#066388,n12349916
n#053657,n09961198
n#021477,n03894217
r#002709,r00397197
a#014033,a02530370
v#011654,v02338629
n#015740,n02924116
v#008939,v01797204
n#013166,n02482474
n#043470,n07934800
n#060802,n11196305
n#074163,n13849810
n#058719,n10811352
n#032842,n06012513
a#005083,a00927832
n#004066,n00800825
n#041545,n07648549
n#055425,n10253887
v#011046,v02216083
r#002866,r00419876
n#082730,n80000616
n#081204,n15137890
v#012719,v02561332
v#004607,v00957945
n#068037,n12697514
a#014259,a02569030
n#004250,n00835976
n#015293,n02850358
n#021271,n03861596
v#009023,v01815185
n#030668,n05575960
n#030938,n05628193
n#056913,n10509063
n#017619,n03240892
n#035903,n06654275
v#005949,v01220885
n#075312,n14067575
n#061535,n11327650
a#001983,a00357790
v#006707,v01358023
n#021088,n03830835
v#013350,v02694548
n#014706,n02756098
n#077058,n14384684
a#017861,a03112867
n#066130,n12299425
n#059733,n11002895
n#069380,n12970733
n#049020,n09121936
a#011206,a02045144
n#066668,n12409016
a#007303,a01340147
n#050606,n09428967
n#019569,n03572321
n#026775,n04818460
v#008470,v01700655
n#065401,n12139793
n#057925,n10681194
n#052927,n09840963
n#015246,n02843158
a#002934,a00523229
n#078186,n14596956
n#052115,n09704630
n#011506,n02200630
n#055046,n10188576
n#049944,n09297240
v#012439,v02500144
n#079693,n14874932
n#042423,n07780307
n#064135,n11879054
n#028236,n05097278
r#001473,r00216387
n#050528,n09410558
n#048372,n08987423
a#007214,a01323962
n#062857,n11612018
n#001185,n00254769
n#064101,n11872324
v#000892,v00190682
n#058831,n10833595
r#002085,r00302120
n#017442,n03211616
n#021733,n03937437
n#041949,n07705303
r#002017,r00290935
v#000746,v00163441
r#002104,r00304898
n#027021,n04867700
n#029725,n05384446
n#058476,n10766260
n#040607,n07499276
n#078609,n14685475
n#056332,n10402709
n#053278,n09894143
n#072805,n13635336
n#048175,n08945705
r#000788,r00125238
n#057688,n10640620
n#052022,n09690496
n#049837,n09278162
n#057350,n10583387
n#063258,n11694866
n#053229,n09886700
n#070145,n13138658
n#042707,n07824268
n#052897,n09837201
n#074020,n13826732
v#011246,v02257370
n#051210,n09533910
n#000348,n00093006
n#004990,n00980779
a#003205,a00574884
n#017646,n03245553
n#029443,n05335850
n#011974,n02280458
n#041720,n07672421
n#024649,n04424826
n#080783,n15061550
n#026698,n04802776
n#044892,n08242799
n#077859,n14538811
v#011710,v02349945
r#000202,r00037641
n#035513,n06584162
v#001996,v00410055
n#035220,n06526811
n#033985,n06283764
n#022053,n03991321
n#003369,n00664285
n#065220,n12105981
n#040340,n07453924
v#005172,v01072133
n#056557,n10448065
n#039913,n07377082
v#008656,v01739545
n#077525,n14474718
r#000181,r00034308
n#076511,n14290751
v#010977,v02199590
a#014928,a02669373
a#007229,a01326148
n#028693,n05188095
n#027097,n04882438
n#034838,n06455682
n#002850,n00570854
n#004347,n00855407
a#010532,a01920834
n#078282,n14614744
n#050092,n09327077
n#013950,n02620826
r#000045,r00009650
n#017025,n03141702
n#050183,n09344198
v#012045,v02417389
n#023536,n04240752
n#078732,n14706026
v#010104,v02028181
v#005728,v01177699
a#015031,a02684005
v#001848,v00378521
n#069744,n13046512
n#079184,n14785941
n#055246,n10222497
n#076132,n14227357
n#026222,n04702127
n#079005,n14759275
n#036200,n06705984
n#047669,n08825321
n#064775,n12009420
v#003910,v00803325
a#011780,a02148450
n#073208,n13694367
n#025778,n04612840
a#013112,a02367785
n#050768,n09457507
v#008791,v01766407
n#007583,n01488918
n#069919,n13082568
n#032122,n05860200
n#021831,n03952576
n#025059,n04492060
n#039099,n07227589
v#002191,v00449692
v#011015,v02208537
n#060492,n11143331
a#005414,a00989647
a#008554,a01559042
n#039734,n07343195
v#002270,v00466053
n#023949,n04305210
n#072338,n13543968
a#016360,a02878147
n#027158,n04893525
a#013730,a02477457
n#036969,n06857986
a#013071,a02360351
a#013665,a02466566
n#024220,n04351936
n#068938,n12881631
n#056045,n10353813
n#029826,n05404074
n#038164,n07048782
n#005989,n01170406
a#000164,a00033886
n#063270,n11696935
v#003276,v00665771
a#005778,a01056242
v#011822,v02366745
n#071625,n13402690
n#013028,n02457586
a#017230,a03012793
r#001086,r00163236
n#050551,n09418629
v#001095,v00230562
n#005480,n01070708
n#039292,n07262579
n#025366,n04543924
a#009444,a01721867
v#009436,v01899262
n#010473,n02025530
a#004277,a00776406
n#079874,n14905911
n#045848,n08426111
a#008667,a01581305
v#009797,v01968569
n#020892,n03797548
n#022741,n04110654
n#054104,n10038320
n#005196,n01019248
n#006170,n01208291
n#050912,n09482566
a#012143,a02202712
n#046191,n08502672
n#008026,n01577035
n#077263,n14425319
n#020687,n03763133
n#075447,n14093464
n#063447,n11733312
n#069545,n13006171
n#052741,n09807495
a#000971,a00180359
a#000291,a00055906
n#074692,n13948441
n#019931,n03632729
v#000312,v00062582
a#009545,a01739080
a#003502,a00629382
n#073440,n13725108
n#046533,n08583682
v#000061,v00014549
n#039496,n07298154
n#019360,n03535780
a#008931,a01632314
n#053967,n10011785
n#052177,n09713260
a#012240,a02215382
v#002417,v00497219
v#010439,v02092907
a#006616,a01209679
v#002504,v00512749
n#068520,n12797025
n#026109,n04681230
n#055986,n10344121
n#012341,n02345774
n#055145,n10205231
n#027818,n05016553
v#012496,v02512305
v#002687,v00545557
n#055822,n10317963
n#056721,n10477713
n#030126,n05464939
n#060462,n11138449
a#003680,a00662318
n#073153,n13687420
n#024534,n04403524
v#010287,v02063988
n#003256,n00642446
n#066908,n12460697
v#001949,v00399074
n#063457,n11735053
n#064423,n11938261
v#007652,v01539633
n#010211,n01980166
a#014857,a02659571
a#005006,a00914808
n#068899,n12873182
n#081818,n15245829
a#001060,a00197891
n#015936,n02956247
n#013689,n02577164
n#069629,n13022538
n#079289,n14804039
n#007365,n01448594
n#045095,n08277805
n#014402,n02699494
n#043779,n07998712
a#011390,a02078894
n#044061,n08067683
n#076245,n14247575
a#015661,a02772543
n#019108,n03493911
a#015979,a02819219
a#011285,a02056880
n#044312,n08119698
a#012429,a02247422
n#080194,n14957546
n#015861,n02943964
n#068514,n12795829
v#000602,v00124442
n#013708,n02580055
n#052391,n09745229
a#005463,a00998381
n#046504,n08578517
n#039693,n07335097
n#049334,n09179264
v#000692,v00152558
n#004792,n00938791
n#022834,n04124370
n#001336,n00282953
v#008802,v01768935
n#054439,n10095061
n#021183,n03846431
n#055886,n10327987
n#051175,n09529013
n#014331,n02686568
a#005610,a01025913
n#015995,n02966687
n#051026,n09506216
n#045421,n08344551
n#048559,n09028204
n#070180,n13145250
a#011737,a02142787
n#045949,n08456178
n#048787,n09079505
v#002612,v00533185
n#022640,n04092959
v#013377,v02700104
n#054287,n10069296
r#003548,r00508771
n#046687,n08611339
n#058520,n10772289
n#059821,n11019570
n#069867,n13072350
n#052239,n09723067
a#016221,a02855503
a#000793,a00146501
n#063458,n11735325
n#059140,n10889905
n#034844,n06456642
n#019596,n03577672
n#008900,n01736696
n#008794,n01717666
n#018406,n03378765
n#066070,n12286988
n#034945,n06476741
a#008962,a01637583
n#018511,n03396311
r#001649,r00241871
n#056424,n10418577
n#010510,n02031752
n#071345,n13355656
a#002625,a00465943
n#044602,n08183398
n#015540,n02892201
n#001529,n00316806
n#039911,n07376836
n#016285,n03015052
n#023988,n04311485
n#016796,n03104413
n#080864,n15075298
a#007121,a01307067
n#029401,n05325606
n#037804,n06985310
n#016256,n03010656
r#000469,r00080445
n#002655,n00536120
a#014240,a02566453
a#002414,a00426608
a#003943,a00710741
n#048765,n09075170
n#081649,n15217674
v#005972,v01225461
n#059326,n10925772
n#081963,n15273241
n#012975,n02448885
n#021149,n03841143
n#044783,n08224274
r#001064,r00159690
n#016044,n02974565
n#070584,n13222669
n#067321,n12551457
n#044692,n08209076
n#068094,n12708941
n#070309,n13165286
n#010799,n02081282
n#004597,n00901083
v#004685,v00974367
n#046612,n08597023
n#080537,n15019267
n#043766,n07996010
n#057377,n10587378
n#082437,n80000323
n#037517,n06940001
r#000677,r00109949
a#006239,a01140896
n#057761,n10654211
n#012362,n02349557
n#066704,n12416278
n#065134,n12088223
n#026746,n04811767
a#000398,a00075952
n#051331,n09555962
n#026552,n04773351
v#003009,v00605498
n#075375,n14079971
n#036054,n06682290
n#075226,n14051201
v#013805,v80000039
n#061621,n11342905
n#064359,n11927740
n#028362,n05122295
r#000336,r00059086
n#002988,n00594580
n#064187,n11889847
n#011221,n02150134
n#076920,n14361182
v#002810,v00568234
a#009851,a01793405
a#016659,a02925655
n#035649,n06609296
v#002272,v00466484
n#026445,n04750547
v#002323,v00477665
n#068371,n12766043
n#040060,n07402393
n#025919,n04641447
n#035184,n06519846
n#012707,n02405692
n#024402,n04383401
n#041972,n07711080
v#004923,v01025246
n#022276,n04030414
r#000695,r00112393
a#001503,a00269063
v#010803,v02165754
a#010305,a01877792
n#013153,n02480153
n#031823,n05800527
n#020118,n03662887
n#012597,n02386853
n#025783,n04613696
n#066391,n12350433
n#032557,n05952199
n#005512,n01077190
n#038868,n07185076
n#011708,n02235465
v#000973,v00205766
n#066840,n12446200
n#062884,n11618079
a#003154,a00565799
a#007408,a01359771
n#039828,n07360841
n#010888,n02095889
n#050786,n09460139
n#053586,n09946814
v#006014,v01233642
n#017232,n03174079
n#057805,n10660729
n#075090,n14024296
v#000139,v00030647
n#022484,n04065789
n#038466,n07107381
n#064165,n11885148
v#003338,v00679715
a#008356,a01522895
a#009278,a01695363
n#071408,n13366912
n#028543,n05158095
n#023101,n04168840
n#046323,n08541288
n#060687,n11176932
n#024385,n04380916
n#046810,n08638260
n#001954,n00398585
n#023089,n04166841
r#000287,r00052152
v#000256,v00052374
n#046272,n08518171
n#066412,n12354619
n#051752,n09643078
n#038388,n07094508
n#022505,n04069166
n#073535,n13739934
n#017755,n03264021
n#032056,n05847320
n#051643,n09613559
v#013711,v02761594
n#038353,n07087940
n#083164,n80001052
n#030919,n05624461
a#013249,a02393670
v#003132,v00633443
n#054803,n10150556
n#022025,n03986704
n#030345,n05510907
n#040923,n07555647
n#029022,n05254627
n#025027,n04486445
n#041445,n07634514
v#011941,v02394183
n#014805,n02771750
n#029741,n05387544
n#014689,n02752917
n#061295,n11286618
a#013416,a02424095
n#066131,n12299640
n#045654,n08389572
n#074307,n13877129
n#050017,n09310011
a#007927,a01450293
n#071532,n13389105
n#012339,n02345471
n#044973,n08255508
n#027603,n04975739
a#003845,a00690892
n#022164,n04010348
n#045999,n08466010
n#032228,n05883473
v#007508,v01513045
n#082970,n80000856
n#033961,n06278830
n#071510,n13384164
v#011546,v02317836
v#012378,v02486932
n#044139,n08080762
n#007197,n01411036
n#047338,n08752814
n#042014,n07717556
n#020819,n03785142
n#077747,n14517412
v#004436,v00920778
v#005472,v01129591
n#007854,n01548492
n#006641,n01297291
a#016379,a02881057
v#012885,v02595523
n#074186,n13854318
n#068350,n12761471
v#003751,v00767530
n#033281,n06135335
a#007726,a01416255
n#047132,n08710325
n#060125,n11075219
n#020678,n03761731
n#031714,n05779371
n#033102,n06080522
n#028213,n05093181
n#012517,n02376303
n#011674,n02229385
a#003236,a00581401
a#010445,a01905377
a#017095,a02993258
n#051226,n09536058
n#024620,n04418644
n#074778,n13965627
n#037033,n06868445
n#040436,n07469609
n#030874,n05615373
n#039287,n07261955
n#033059,n06070929
n#070603,n13225955
n#009790,n01903234
n#014494,n02714883
n#015638,n02906963
v#010588,v02121958
n#033369,n06154724
n#043508,n07941045
n#077166,n14405931
a#006302,a01152453
n#050360,n09377657
r#003507,r00503777
n#056885,n10505347
n#076332,n14261717
r#003416,r00493260
n#013364,n02517768
n#078219,n14602987
n#068280,n12747961
n#074617,n13933103
a#005138,a00937985
n#009902,n01923637
n#039306,n07264725
n#033176,n06108079
n#013509,n02543093
n#031565,n05748054
a#016078,a02834164
n#037369,n06920129
n#073128,n13684298
a#018246,a80000093
n#053283,n09895222
a#017294,a03022469
n#006853,n01340155
a#012721,a02298285
n#018095,n03329058
n#050114,n09331819
n#047751,n08842427
n#048335,n08979878
n#005149,n01010458
a#003644,a00656132
a#015834,a02797021
n#075052,n14017871
n#061050,n11240249
v#002910,v00585805
n#007236,n01418114
a#004067,a00734906
n#042103,n07730207
n#007367,n01448951
n#014904,n02789487
n#024799,n04448361
n#072116,n13497928
v#001851,v00379154
n#081619,n15212167
a#015912,a02808653
n#010491,n02028900
a#004283,a00777238
v#004345,v00901464
n#001739,n00356516
n#080499,n15012999
a#012440,a02249183
n#027924,n05036715
a#002371,a00418364
n#057226,n10561736
n#059869,n11028446
n#081265,n15148787
a#009066,a01654582
r#002521,r00368807
n#034032,n06294147
n#039634,n07323821
n#005715,n01118182
n#070257,n13158386
n#069298,n12956367
v#010389,v02084104
n#014708,n02756751
a#001232,a00224031
a#011166,a02038555
v#012601,v02535360
n#002426,n00492871
n#061990,n11406314
n#005721,n01119012
n#071971,n13469066
a#014177,a02555267
r#002411,r00352482
n#009379,n01826223
v#006430,v01305361
n#048085,n08927068
v#011790,v02362798
a#002718,a00482227
n#063970,n11843709
a#015334,a02727369
v#005638,v01158572
v#006593,v01337092
n#005183,n01016628
n#031794,n05795044
n#026965,n04856621
n#045851,n08426378
n#066123,n12298003
r#000942,r00143367
n#079711,n14878844
n#070293,n13162945
n#016915,n03124700
n#066072,n12287388
n#031637,n05762671
n#075552,n14112255
n#021212,n03851787
a#000609,a00115906
n#067186,n12522678
a#014787,a02649706
n#069008,n12898342
n#037481,n06935417
a#005696,a01040239
n#016381,n03030262
a#007499,a01377257
n#052659,n09791816
n#001795,n00366846
a#017626,a03075191
n#034855,n06459016
n#027030,n04869569
n#060793,n11194910
n#067951,n12679593
n#021630,n03919430
n#014010,n02632039
n#048005,n08906952
v#007209,v01452918
n#044687,n08207672
n#056601,n10456514
n#006326,n01236173
v#006258,v01274745
n#054389,n10086383
n#022944,n04141198
n#052599,n09782589
n#062303,n11466834
n#029020,n05254197
n#056780,n10488656
n#052178,n09713357
a#006114,a01114434
n#058001,n10692405
r#003348,r00484570
n#064812,n12017127
n#053194,n09881358
n#003703,n00726867
n#068305,n12753573
a#008487,a01545571
n#053524,n09935434
r#001496,r00220052
n#041638,n07661845
n#042593,n07806043
r#003249,r00470692
n#083190,n80001078
v#012175,v02445925
a#005372,a00982275
n#073294,n13704274
a#017913,a03121855
n#055790,n10313000
a#014765,a02646215
n#042430,n07781497
n#062214,n11449419
n#004277,n00841393
n#042303,n07760673
n#049143,n09144484
a#010850,a01981009
v#006677,v01352528
n#061952,n11399866
a#010945,a01999306
n#002160,n00439043
n#061841,n11380923
n#034149,n06319881
n#030905,n05621946
n#016786,n03102771
n#046908,n08654260
v#008457,v01697986
n#048860,n09091668
n#053397,n09912907
n#043209,n07897975
n#027281,n04917680
a#007145,a01311973
n#013433,n02529772
a#010345,a01885866
n#067633,n12614625
n#064685,n11990313
n#035624,n06604963
n#076979,n14371082
a#007728,a01416809
n#025497,n04566756
n#081515,n15192890
v#011992,v02404904
n#025972,n04652438
n#029572,n05358944
n#058686,n10805783
n#042258,n07753448
n#053593,n09950457
n#028571,n05163582
n#016589,n03064443
n#012774,n02415577
n#008248,n01614690
n#027561,n04970059
n#056175,n10375052
n#038969,n07204240
n#035285,n06539076
n#080282,n14973492
n#063308,n11704791
a#015992,a02821071
n#074560,n13920012
n#021797,n03946933
v#010789,v02163183
n#005507,n01076046
n#029449,n05336748
r#002370,r00346592
r#002223,r00324235
n#042677,n07819896
n#022726,n04108268
n#004537,n00890808
n#029119,n05272110
r#001613,r00236668
n#001591,n00327510
n#017051,n03145277
r#002491,r00363878
n#080161,n14952441
n#048856,n09090825
n#036156,n06700325
n#062793,n11597924
n#055992,n10344922
n#013423,n02527271
n#052992,n09850317
n#063546,n11753700
a#004487,a00815227
n#062630,n11525955
n#030608,n05564590
a#005744,a01049462
a#003078,a00551806
n#065343,n12128071
n#075954,n14196722
n#080641,n15038316
n#068804,n12855042
n#060820,n11199727
n#017225,n03172965
a#018176,a80000021
a#016546,a02906778
n#022175,n04012482
a#001586,a00285725
n#075991,n14202996
r#000642,r00104990
n#065874,n12244819
a#008803,a01608465
n#060713,n11181255
n#072593,n13595094
n#039938,n07381100
n#001048,n00225484
n#035333,n06548991
v#005789,v01189823
a#009819,a01789117
a#017439,a03044869
n#044723,n08214698
n#000278,n00079212
a#014705,a02636582
r#000022,r00005055
n#011416,n02184881
v#007648,v01538785
a#003023,a00540236
a#014577,a02617933
a#000476,a00090917
n#021856,n03957567
n#012074,n02297819
v#002623,v00534837
n#022770,n04114844
a#000305,a00058554
n#037107,n06879766
a#000595,a00112628
n#076375,n14268623
a#007899,a01445320
a#000482,a00092391
n#035709,n06618937
v#004562,v00948071
a#015336,a02727579
a#013179,a02380225
a#016874,a02958844
n#026199,n04697442
n#008557,n01675225
v#012046,v02417504
n#064712,n11995840
n#033556,n06198083
v#008766,v01759926
n#062477,n11499091
a#012592,a02276305
n#019752,n03603199
n#037010,n06864308
a#004629,a00844112
n#009836,n01912050
n#082173,n80000059
n#026025,n04662951
v#003997,v00823436
v#000214,v00044797
v#000088,v00020133
n#032308,n05901248
a#004672,a00850875
a#013828,a02493700
v#003649,v00745970
n#022423,n04055447
n#035693,n06616464
n#064605,n11973888
n#047597,n08809910
a#004981,a00910542
v#004979,v01036804
n#081054,n15107362
n#000106,n00047106
v#008204,v01648894
n#076580,n14305149
n#072165,n13507472
n#014923,n02792552
n#057269,n10568358
n#029958,n05433709
a#013879,a02502578
a#016608,a02916730
n#009608,n01873007
n#034241,n06338653
n#063862,n11820751
v#001062,v00223374
n#049618,n09235713
v#003945,v00811881
a#003684,a00662873
n#046091,n08483788
n#060359,n11119476
n#000773,n00172347
a#004784,a00872195
r#003574,r00511825
n#070596,n13224673
v#000220,v00045639
r#003429,r00494624
a#005645,a01031797
a#004407,a00800678
n#037302,n06911962
n#013147,n02478990
v#007628,v01535117
n#009987,n01938850
n#040562,n07491038
n#038641,n07140348
v#001508,v00312060
v#007045,v01418667
a#008320,a01516346
r#002656,r00389804
n#072042,n13482940
n#034628,n06409937
n#014465,n02710429
a#011260,a02052983
n#008344,n01632308
v#009654,v01942234
n#051194,n09531630
v#005778,v01187740
n#044088,n08072104
n#023206,n04186051
v#000106,v00024047
n#054346,n10079310
v#003549,v00725563
n#023311,n04206356
n#044214,n08097391
a#012321,a02229584
n#072513,n13577731
n#042614,n07808806
n#031039,n05644922
a#015793,a02791483
n#073784,n13780719
n#036988,n06860699
n#057937,n10682953
n#055938,n10335679
n#079313,n14808617
v#005126,v01063695
n#026153,n04689834
n#030755,n05592126
n#039586,n07315350
n#074258,n13868515
n#039060,n07220466
n#080559,n15022171
n#062058,n11421401
n#015806,n02934888
n#003637,n00713594
n#075974,n14200098
n#018618,n03415083
n#003786,n00741797
n#001661,n00341695
n#080232,n14964129
n#048507,n09016698
n#047945,n08895148
r#002525,r00369552
n#072938,n13657080
a#000872,a00161065
n#015694,n02917521
n#008257,n01616086
a#006287,a01149494
n#007302,n01437805
n#045062,n08272352
n#045508,n08361817
n#043045,n07872915
a#000515,a00098043
n#064668,n11986900
n#030456,n05533948
n#049019,n09121814
n#029386,n05322855
a#015445,a02743547
n#041541,n07648036
v#012618,v02539101
n#043628,n07963987
n#079393,n14823036
a#005087,a00928525
n#044220,n08098708
a#009622,a01753140
n#058715,n10810818
n#025235,n04521571
n#047549,n08798382
n#009748,n01897053
a#002680,a00474620
n#041778,n07681450
v#000498,v00100551
n#052042,n09693618
n#049313,n09175767
n#044106,n08074879
v#002598,v00530592
r#002944,r00430520
n#062445,n11492388
n#072783,n13631355
v#010003,v02008978
r#003334,r00482480
n#037869,n06995222
n#012861,n02430045
v#006703,v01357288
n#020208,n03678558
n#006664,n01303252
n#032413,n05922809
v#003825,v00783859
n#021084,n03830111
n#041126,n07590752
n#049024,n09122542
a#007430,a01363613
n#058105,n10711005
n#052161,n09711132
n#067849,n12658603
n#023406,n04221076
n#002446,n00497321
n#050694,n09444100
r#000437,r00075881
n#004617,n00905842
n#046914,n08657100
n#021495,n03897520
n#026819,n04827957
a#011220,a02046916
a#014849,a02658412
n#003932,n00774506
a#009793,a01784946
n#056618,n10458834
n#001231,n00263000
v#001123,v00236289
n#058084,n10707707
a#001871,a00336724
n#017446,n03212247
n#080120,n14945914
n#058018,n10695450
v#012398,v02490634
n#034172,n06325145
n#063241,n11690893
n#011351,n02173784
n#005388,n01054227
n#009150,n01789740
n#046598,n08594886
n#080793,n15063224
a#001463,a00261245
n#011242,n02153809
r#001043,r00156833
n#044498,n08161757
n#073946,n13813283
v#004305,v00893167
n#011141,n02136794
n#068639,n12822115
a#005054,a00922439
n#016700,n03085602
n#013447,n02532272
r#002357,r00344659
n#065035,n12067433
n#010376,n02008796
v#010644,v02134232
r#003292,r00477060
a#015826,a02795925
n#001753,n00359238
n#042703,n07823698
n#020955,n03807895
n#079680,n14872325
v#012341,v02479990
v#012577,v02530770
n#076243,n14247360
n#053130,n09871681
n#023695,n04264914
n#072062,n13486520
a#004725,a00862067
v#005426,v01121508
n#029362,n05318407
n#036566,n06779096
v#007501,v01511289
n#052440,n09751256
n#020057,n03652530
n#055595,n10280364
n#048406,n08994834
n#078618,n14686913
n#028389,n05128096
a#004892,a00892379
n#022421,n04055030
n#023861,n04290875
n#045123,n08282542
n#065224,n12106786
v#002994,v00602510
n#016363,n03027108
n#019665,n03589313
n#071807,n13436063
n#040305,n07447641
n#065418,n12143065
n#026802,n04824350
a#004802,a00875712
n#012287,n02337001
v#009868,v01982253
n#038567,n07127006
v#005839,v01199213
n#056398,n10414379
n#066423,n12357100
r#000185,r00034746
v#003274,v00665476
n#070112,n13132034
n#076342,n14263280
v#003155,v00639693
n#020124,n03663781
n#032823,n06009433
n#039037,n07216412
a#010536,a01921466
n#011727,n02238743
n#054644,n10127273
r#002488,r00363463
n#080549,n15020794
n#009242,n01804029
v#011007,v02206619
n#082742,n80000628
n#076948,n14365950
n#063353,n11714150
n#052590,n09780984
n#017732,n03260504
v#005092,v01057558
n#066798,n12436907
n#067531,n12594533
n#057862,n10670310
n#082940,n80000826
n#037627,n06958836
n#026068,n04672858
n#049649,n09241929
a#009992,a01818992
n#062395,n11483580
n#054447,n10096126
n#056577,n10452151
v#005220,v01081652
n#046994,n08677424
n#017650,n03246197
a#003756,a00674913
n#021315,n03868324
a#006904,a01262611
n#046837,n08643648
v#013627,v02746140
n#032698,n05979198
a#017481,a03051307
n#047687,n08828750
v#013776,v80000010
r#000756,r00121413
n#040313,n07449037
n#028153,n05081434
a#013444,a02429461
n#073537,n13740168
n#047274,n08740483
v#001969,v00403609
a#008885,a01623744
n#027583,n04973020
v#008619,v01731718
n#041839,n07690152
v#008037,v01611901
n#067745,n12637485
n#027490,n04959061
n#029632,n05369092
r#000906,r00139071
n#050623,n09431902
n#083089,n80000976
n#029049,n05259426
n#061262,n11280405
n#061708,n11358719
n#055007,n10182913
n#048305,n08973202
n#024823,n04452757
n#057958,n10686313
n#065219,n12105828
n#020478,n03722646
n#063028,n11646955
v#012256,v02463141
v#007929,v01594664
n#047155,n08715110
a#006417,a01174438
v#004301,v00892315
n#039894,n07374152
n#066210,n12315424
n#016978,n03134595
r#000925,r00141587
n#041220,n07604307
a#000336,a00064176
v#005246,v01086549
n#041373,n07625061
n#001831,n00374063
n#057188,n10555311
n#006539,n01274531
n#032753,n05990089
n#076198,n14238639
n#001962,n00400278
n#074493,n13909488
a#005815,a01061100
n#041092,n07586099
n#057776,n10656223
a#002814,a00500219
n#009733,n01894670
n#077789,n14525108
n#033616,n06208751
n#057627,n10629142
n#077973,n14559208
a#017778,a03100026
n#072781,n13631037
a#015262,a02717678
a#004630,a00844263
n#042186,n07742313
n#019935,n03633341
n#073369,n13713817
a#013593,a02452562
a#000295,a00056943
a#008307,a01513512
n#038006,n07018724
a#003506,a00630329
n#007643,n01499732
n#048884,n09096343
a#008175,a01490855
v#005392,v01114475
n#063561,n11757433
a#010422,a01901496
a#008084,a01476154
n#045969,n08460585
v#005622,v01155090
n#033775,n06243575
n#003535,n00693399
a#012675,a02289659
n#071201,n13328073
n#018868,n03455488
n#007043,n01381829
v#010245,v02055521
a#000663,a00125711
n#001179,n00253577
n#000113,n00048374
n#012331,n02344270
a#009257,a01691302
a#010760,a01964933
v#002284,v00469187
n#043929,n08037861
a#013136,a02371343
a#004903,a00894435
v#003692,v00754560
n#028411,n05132221
n#070684,n13242239
n#034258,n06341609
n#002270,n00456804
a#001064,a00198757
n#006256,n01224346
n#060461,n11138301
a#001636,a00295235
n#021006,n03816659
n#036821,n06826214
n#024366,n04376715
a#010861,a01983432
a#001767,a00319965
n#078247,n14609443
a#018214,a80000059
n#071207,n13329322
a#014453,a02601123
n#036564,n06778777
r#003499,r00502575
n#074906,n13989627
n#000479,n00117810
a#009756,a01777822
n#031495,n05734381
v#008609,v01729295
n#073300,n13705037
a#012570,a02271544
n#073023,n13671967
v#005012,v01043768
n#021981,n03980026
a#015141,a02700199
n#030045,n05449268
a#005467,a00998850
v#012456,v02503633
n#034631,n06410283
n#023699,n04265668
v#012725,v02562585
a#001255,a00228645
n#032374,n05914359
n#077795,n14526182
n#070549,n13215586
n#004917,n00966294
a#001342,a00241079
v#012664,v02549581
n#007053,n01383638
a#017311,a03025746
n#047692,n08829775
n#060908,n11214707
r#001934,r00278259
n#064206,n11893451
n#038781,n07169098
n#007522,n01477745
n#046284,n08520958
n#061323,n11291824
n#072858,n13643894
n#007653,n01501641
a#016225,a02856286
n#025206,n04516354
v#003921,v00806314
n#021335,n03871255
a#010058,a01831203
v#007558,v01521813
n#033541,n06194894
n#082791,n80000677
a#009528,a01735736
n#002968,n00592367
n#057536,n10613387
n#019353,n03534890
n#001421,n00297863
n#053532,n09937056
n#068761,n12846869
a#017850,a03111283
n#073392,n13717914
n#065832,n12236160
n#041012,n07573347
a#012904,a02330064
n#055346,n10241024
n#079103,n14773447
v#003208,v00650932
n#010396,n02011943
n#027805,n05014099
n#034459,n06379721
v#011565,v02321391
n#008288,n01621714
n#001525,n00315830
n#078069,n14574504
n#048296,n08971404
n#037800,n06984650
v#000481,v00097394
n#070321,n13170060
n#027984,n05048690
n#035981,n06668147
a#000985,a00182639
n#069027,n12902662
n#056664,n10466198
n#052269,n09727323
a#004744,a00865331
a#014689,a02634428
n#002659,n00536655
n#070006,n13098962
v#007463,v01503268
a#015313,a02724483
v#004011,v00827158
n#038767,n07166101
n#010104,n01960900
n#056725,n10478293
a#008895,a01625760
n#076141,n14228712
